m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,5,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29",
2,5,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29",
3,5,"2,3,5,7",2^3 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29",
4,5,"2,3,5,7",2^6 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29",
5,5,"2,3,5,7",2^4 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29",
6,5,"2,3,5,7",2^5 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29",
7,5,"2,3,5,7,11",2^4 * 3^2 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29",
8,5,"2,3,5,11",2^6 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29",
9,5,"2,3,5,11,13",2^3 * 3^3 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29",
10,5,"2,3,5,7,11,13",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29",
11,5,"2,3,5,7,11,13",2^3 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29",
12,5,"2,3,5,7,13",2^7 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29",
13,5,"2,3,5,7,13,17",2^5 * 3^1 * 5^1 * 7^1 * 13^1 * 17^1,0,"11,19,23,29",
14,5,"2,3,5,7,17",2^6 * 3^3 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29",
15,5,"2,3,5,17,19",2^5 * 3^3 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29",
16,5,"2,3,5,17,19",2^7 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29",
17,5,"2,3,5,7,17,19",2^3 * 3^3 * 5^1 * 7^1 * 17^1 * 19^1,0,"11,13,23,29",
18,5,"2,3,5,7,11,19",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29",
19,5,"2,3,5,7,11,19,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1 * 23^1,0,"13,17,29",
20,5,"2,3,5,7,11,23",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29",
21,5,"2,3,5,7,11,23",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 23^1,0,"13,17,19,29",
22,5,"2,3,5,11,13,23",2^5 * 3^1 * 5^2 * 11^1 * 13^1 * 23^1,0,"7,17,19,29",
23,5,"2,3,5,13,23",2^4 * 3^4 * 5^2 * 13^1 * 23^1,0,"7,11,17,19,29",
24,5,"2,3,5,7,13",2^6 * 3^4 * 5^2 * 7^1 * 13^1,0,"11,17,19,23,29",
25,5,"2,3,5,7,13,29",2^3 * 3^3 * 5^2 * 7^1 * 13^1 * 29^1,0,"11,17,19,23",
26,5,"2,3,5,7,13,29",2^4 * 3^4 * 5^1 * 7^1 * 13^1 * 29^1,0,"11,17,19,23",
32,5,"2,3,5,7,11,17",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29",
48,5,"2,3,5,7,13,17",2^7 * 3^2 * 5^2 * 7^2 * 13^1 * 17^1,0,"11,19,23,29",
54,5,"2,3,5,7,11,19,29",2^5 * 3^4 * 5^1 * 7^1 * 11^1 * 19^1 * 29^1,0,"13,17,23",
