m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,4,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23",
2,4,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23",
3,4,"2,3,5",2^3 * 3^2 * 5^1,0,"7,11,13,17,19,23",
4,4,"2,3,5,7",2^3 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23",
5,4,"2,3,5,7",2^4 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23",
6,4,"2,3,7",2^4 * 3^3 * 7^1,0,"5,11,13,17,19,23",
7,4,"2,3,5,7",2^4 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23",
8,4,"2,3,5,11",2^4 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23",
9,4,"2,3,5,11",2^3 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23",
10,4,"2,3,5,11,13",2^3 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23",
11,4,"2,3,7,11,13",2^3 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19,23",
12,4,"2,3,5,7,13",2^3 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23",
13,4,"2,3,5,7,13",2^5 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23",
14,4,"2,3,5,7,17",2^5 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19,23",
15,4,"2,3,5,17",2^5 * 3^3 * 5^1 * 17^1,0,"7,11,13,19,23",
16,4,"2,3,17,19",2^5 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23",
17,4,"2,3,5,17,19",2^3 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23",
18,4,"2,3,5,7,19",2^3 * 3^3 * 5^1 * 7^1 * 19^1,0,"11,13,17,23",
19,4,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23",
20,4,"2,3,5,7,11,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19",
21,4,"2,3,7,11,23",2^4 * 3^2 * 7^1 * 11^1 * 23^1,0,"5,13,17,19",
22,4,"2,3,5,11,23",2^4 * 3^1 * 5^2 * 11^1 * 23^1,0,"7,13,17,19",
23,4,"2,3,5,13,23",2^4 * 3^1 * 5^2 * 13^1 * 23^1,0,"7,11,17,19",
24,4,"2,3,5,13",2^4 * 3^4 * 5^2 * 13^1,0,"7,11,17,19,23",
25,4,"2,3,5,7,13",2^3 * 3^3 * 5^2 * 7^1 * 13^1,0,"11,17,19,23",
32,4,"2,3,5,7,11,17",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23",
33,4,"2,3,5,7,11,17",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23",
48,4,"2,3,5,7,17",2^5 * 3^2 * 5^2 * 7^2 * 17^1,0,"11,13,19,23",
49,4,"2,3,5,7,13,17",2^3 * 3^1 * 5^2 * 7^2 * 13^1 * 17^1,0,"11,19,23",
54,4,"2,3,5,7,11,19",2^4 * 3^4 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23",
63,4,"2,3,5,7,11,13",2^7 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23",
75,4,"2,3,5,7,11,13,19",2^3 * 3^2 * 5^2 * 7^1 * 11^1 * 13^1 * 19^1,0,"17,23",
168,4,"2,3,5,7,13,17,19",2^4 * 3^3 * 5^1 * 7^1 * 13^2 * 17^1 * 19^1,0,"11,23",
207,4,"2,3,5,7,11,13,19,23",2^5 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 19^1 * 23^1,0,17,
322,4,"2,3,5,7,13,17,19,23",2^3 * 3^4 * 5^2 * 7^1 * 13^1 * 17^1 * 19^1 * 23^1,0,11,
