m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7",
2,3,"2,3",2^3 * 3^1,0,"5,7",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,7,
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,7,
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,1,,
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,5,
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,5,
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,7,
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,1,,
48,3,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^2,1,,
